Entry Time,Exit Time,Symbol,Type,Special,Entry,SL,TP,Exit,Reason,Result (%),Equity
13.07.25 13:50,13.07.25 15:39,XLMUSDT,LONG,,0.42347,0.41500,0.44041,0.44041,TP,4.00,176.27
13.07.25 19:11,14.07.25 00:40,XRPUSDT,LONG,,2.8344,2.7777,2.9478,2.7762,SL,-2.05,172.65
13.07.25 23:12,14.07.25 01:28,HYPEUSDT,LONG,,48.852,47.875,50.806,47.874,SL,-2.00,169.19
14.07.25 01:20,14.07.25 03:09,PENGUUSDT,LONG,,0.029695,0.029101,0.030883,0.029101,SL,-2.00,165.81
13.07.25 11:57,14.07.25 06:28,ADAUSDT,LONG,,0.7345,0.7198,0.7639,0.7639,TP,4.00,172.45
13.07.25 11:46,14.07.25 06:38,ARBUSDT,LONG,,0.4095,0.4013,0.4259,0.4259,TP,4.00,179.36
14.07.25 14:24,14.07.25 18:52,XRPUSDT,LONG,,2.9771,2.9176,3.0962,2.9175,SL,-2.00,175.77
14.07.25 23:47,15.07.25 03:27,STXUSDT,SHORT,,0.7902,0.8060,0.7586,0.8061,SL,-2.01,172.23
15.07.25 02:35,15.07.25 04:20,FARTCOINUSDT,SHORT,,1.3093,1.3355,1.2569,1.2558,TP,4.09,179.27
15.07.25 04:15,15.07.25 04:54,SUIUSDT,SHORT,✨,3.8587,3.9359,3.6658,3.9359,SL,-2.00,175.68
15.07.25 01:53,15.07.25 06:07,ENAUSDT,SHORT,,0.3374,0.3441,0.3239,0.3239,TP,4.00,182.71
14.07.25 22:34,15.07.25 06:10,JUPUSDT,SHORT,,0.5003,0.5103,0.4803,0.4802,TP,4.02,190.05
15.07.25 07:20,15.07.25 07:41,SPXUSDT,SHORT,,1.4908,1.5206,1.4312,1.5212,SL,-2.04,186.18
15.07.25 07:48,15.07.25 09:52,UNIUSDT,SHORT,,8.864,9.041,8.509,9.042,SL,-2.01,182.44
15.07.25 07:26,15.07.25 10:03,1000PEPEUSDT,SHORT,,0.0119630,0.0122023,0.0114845,0.0122059,SL,-2.03,178.74
15.07.25 07:22,15.07.25 11:45,ENAUSDT,SHORT,,0.3290,0.3356,0.3158,0.3356,SL,-2.01,175.15
15.07.25 07:26,15.07.25 15:32,VETUSDT,SHORT,,0.023840,0.024317,0.022886,0.024318,SL,-2.01,171.64
15.07.25 12:05,15.07.25 16:07,FETUSDT,SHORT,,0.6892,0.7030,0.6616,0.7030,SL,-2.00,168.20
15.07.25 12:14,15.07.25 16:12,QNTUSDT,SHORT,,109.53,111.72,105.15,111.73,SL,-2.01,164.82
15.07.25 07:53,15.07.25 16:43,JUPUSDT,SHORT,,0.4854,0.4951,0.4660,0.4952,SL,-2.02,161.49
15.07.25 07:21,15.07.25 17:52,FARTCOINUSDT,SHORT,,1.2670,1.2923,1.2163,1.2163,TP,4.00,167.95
15.07.25 09:06,15.07.25 17:56,VIRTUALUSDT,SHORT,,1.6310,1.6636,1.5658,1.5657,TP,4.00,174.67
15.07.25 07:26,15.07.25 19:32,NEARUSDT,SHORT,,2.538,2.589,2.436,2.589,SL,-2.01,171.16
16.07.25 05:25,16.07.25 20:48,INJUSDT,LONG,,13.177,12.913,13.704,13.704,TP,4.00,178.01
16.07.25 18:22,16.07.25 23:23,SUSDT,LONG,,0.3713,0.3639,0.3862,0.3862,TP,4.01,185.15
16.07.25 22:12,17.07.25 01:41,SPXUSDT,LONG,,1.8120,1.7758,1.8845,1.7751,SL,-2.04,181.38
17.07.25 01:30,17.07.25 02:04,ENAUSDT,LONG,,0.3764,0.3689,0.3915,0.3688,SL,-2.02,177.72
17.07.25 01:18,17.07.25 02:16,INJUSDT,LONG,,13.785,13.509,14.336,13.509,SL,-2.00,174.16
17.07.25 02:03,17.07.25 04:38,1000PEPEUSDT,LONG,,0.0136261,0.0133535,0.0141711,0.0133506,SL,-2.02,170.64
16.07.25 13:16,17.07.25 04:46,HBARUSDT,LONG,,0.23677,0.23203,0.24624,0.23196,SL,-2.03,167.17
17.07.25 04:21,17.07.25 06:36,1000BONKUSDT,LONG,,0.037227,0.036483,0.038716,0.036482,SL,-2.00,163.82
17.07.25 02:50,17.07.25 06:36,SUSDT,LONG,,0.3782,0.3706,0.3933,0.3706,SL,-2.01,160.53
17.07.25 06:07,17.07.25 06:36,FARTCOINUSDT,LONG,,1.3770,1.3494,1.4320,1.3494,SL,-2.00,157.32
17.07.25 09:06,17.07.25 09:57,SEIUSDT,SHORT,,0.3500,0.3570,0.3360,0.3570,SL,-2.00,154.17
17.07.25 13:49,17.07.25 21:03,XMRUSDT,LONG,,340.56,333.75,354.18,333.73,SL,-2.01,151.08
17.07.25 05:18,18.07.25 01:14,ETHUSDT,LONG,,3353.78,3286.70,3487.93,3487.94,TP,4.00,157.12
18.07.25 09:10,18.07.25 10:52,XRPUSDT,LONG,,3.5563,3.4852,3.6985,3.4851,SL,-2.00,153.97
19.07.25 12:17,19.07.25 22:16,QNTUSDT,SHORT,,110.60,112.81,106.18,112.82,SL,-2.01,150.88
20.07.25 01:30,20.07.25 04:01,DOGEUSDT,SHORT,,0.24121,0.24603,0.23156,0.24737,SL,-2.55,147.03
20.07.25 07:12,20.07.25 12:44,LINKUSDT,LONG,,18.540,18.169,19.282,19.510,TP,+5.23,154.72
20.07.25 15:07,20.07.25 16:44,PUMPUSDT,LONG,,0.004453,0.004364,0.004632,0.004632,TP,+4.01,160.93
20.07.25 17:11,20.07.25 18:07,ENAUSDT,LONG,,0.4742,0.4647,0.4931,0.4933,TP,+4.04,167.43
